objectid,parkid,parkname,parkaddress,streetno,streetname,city,state,zipcode,parktype,parkcatagory,parkstatus,parkdist,parkphone,councildistrict,bocc,parkdate,x,y,leasedid,parklatitude,parklongitude,lattitude,longitude,population,pplpersqmile,avgincomeperhshd
165,FRAZ,Frazier Park,1201 W 4TH ST EXT,1201,4TH,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 2,District 4,1998/07/28 00:00:00+00,1445548.7780000002,545017.7281,Mecklenburg,35.232566,-80.857935,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
262,IRWN,Rays Splash Planet,215 N SYCAMORE ST,215,SYCAMORE,CHARLOTTE,NC,28202,Aquatic Center,Sports,Developed,Central,9803144729,District 2,District 4,1998/10/06 00:00:00+00,1447182.965,546670.2976,Mecklenburg,35.238094,-80.851339,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
279,WEPK,Romare Bearden Park,300 S CHURCH ST,0, ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 2,District 4,2009/04/24 00:00:00+00,1448476.753,542416.8192,Mecklenburg,35.226974,-80.847325,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
54,FOUR,Fourth Ward Park,301 N POPLAR ST,301,POPLAR,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 2,District 4,2007/12/12 00:00:00+00,1449875.708,544321.5989,Mecklenburg,35.230762,-80.84275500000001,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
115,FRST,First Ward Park,309 E 7TH ST,309,7TH,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,2015/12/08 00:00:00+00,1451815.426,542871.3429,Mecklenburg,35.227502,-80.837142,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
161,NINT,Ninth Street Park,417 W 9TH ST,417,9TH,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 2,District 4,1998/07/28 00:00:00+00,1450224.243,545218.4455,Mecklenburg,35.234055,-80.841426,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
102,METO,Second Ward Gymnasium,710 E MARTIN LUTHER KING JR BV,710,MARTIN LUTHER KING JR,CHARLOTTE,NC,28202,Recreation Center,RecCenter,Developed,Central,9803141002,District 1,District 4,2018/10/09 00:00:00+00,1450307.352,539411.6044,Mecklenburg,35.218073,-80.840814,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
125,MARS,Marshall Park,800 E 3RD ST,0, ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,2009/04/24 00:00:00+00,1450791.701,540101.0559,Mecklenburg,35.221763,-80.68746800000001,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
63,AQUA,Mecklenburg County Aquatic Center,800 E MARTIN LUTHER KING JR BV,800,MARTIN LUTHER KING JR,CHARLOTTE,NC,28202,Aquatic Center,Sports,Developed,Central,9803143483,District 1,District 4,2002/03/18 00:00:00+00,1450347.3830000001,539157.2422,Mecklenburg,35.242567,-80.807819,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
153,BLTN,Ballantyne Park,10082 COMMUNITY HOUSE RD,0,NO ADDRESS,CHARLOTTE,NC,28277,Community,General,Developed,South,9803141003,District 7,District 6,2002/03/18 00:00:00+00,1452428.668,475004.0866,Mecklenburg,35.040791,-80.82885,35.053275,-80.816601,"33,905.00","1,360.39","86,713.00"
248,ELNC,Elon Recreation Center,11401 ARDREY KELL RD,11401,ARDREY KELL,CHARLOTTE,NC,28277,Recreation Center,RecCenter,Developed,South,9803141103,District 7,District 6,2008/01/16 00:00:00+00,1449679.655,467223.1742,Mecklenburg,35.019753,-80.838444,35.053275,-80.816601,"33,905.00","1,360.39","86,713.00"
99,H521,Elon Homes Park,11435 ARDREY KELL RD,11435,ARDREY KELL,CHARLOTTE,NC,28277,Regional,General,Developed,South,9803141003,District 7,District 6,1998/10/06 00:00:00+00,1447621.3190000001,468246.0488,Mecklenburg,35.022679,-80.844932,35.053275,-80.816601,"33,905.00","1,360.39","86,713.00"
52,FLTB,Flat Branch Park,11830 TOM SHORT RD,0,NO ADDRESS,CHARLOTTE,NC,28277,Community,General,Developed,South,9803141003,District 7,District 6,1998/10/06 00:00:00+00,1463068.514,476440.5535,Mecklenburg,35.046637,-80.794742,35.053275,-80.816601,"33,905.00","1,360.39","86,713.00"
217,FBNP,Flat Branch Nature Preserve,11833 TOM SHORT RD,0,NO ADDRESS,CHARLOTTE,NC,28277,Nature Preserve,General,Developed,South,9803141003,District 7,District 6,2007/02/08 00:00:00+00,1463138.029,476484.2369,Mecklenburg,35.045790999999994,-80.792855,35.053275,-80.816601,"33,905.00","1,360.39","86,713.00"
34,BIGR,Big Rock Nature Preserve,6500 ELMSTONE DR,0,NO ADDRESS,CHARLOTTE,NC,28277,Nature Preserve,General,Developed,South,9803141003,District 7,District 6,2002/03/18 00:00:00+00,1453468.38,482058.1874,Mecklenburg,35.061703,-80.826986,35.053275,-80.816601,"33,905.00","1,360.39","86,713.00"
178,RMBL,Ramblewood Soccer Complex,10200 NATIONS FORD RD,10200,NATIONS FORD,CHARLOTTE,NC,28273,Community,General,Developed,South,9803141003,District 3,District 2,1998/07/28 00:00:00+00,1431192.5790000001,504991.6223,Mecklenburg,35.123876,-80.90677099999999,35.127365000000005,-80.946828,"18,281.00",801.76,"56,437.00"
45,SCES,Steele Creek Park,4000 GALLANT LN,4100,GALLANT,CHARLOTTE,NC,28273,Neighborhood,General,Developed,South,9803141003,District 3,District 2,1998/07/28 00:00:00+00,1415167.5280000002,517582.4125,Mecklenburg,35.1534,-80.955961,35.127365000000005,-80.946828,"18,281.00",801.76,"56,437.00"
298,BERR,Berryhill Nature Preserve,10334 WALKERS FERRY RD,0,NO ADDRESS,CHARLOTTE,NC,28214,Nature Preserve,General,Undeveloped,South,9803141003,,District 2,2002/03/18 00:00:00+00,1406298.001,539308.1399,Mecklenburg,35.217503,-80.988752,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
21,CROS,Forest Pawtuckett Park,1102 ASHFORD ST,0,NO ADDRESS,CHARLOTTE,NC,28214,Neighborhood,General,Developed,North,9803141001,District 3,District 2,2003/07/11 00:00:00+00,1419429.8490000002,556645.6972,Mecklenburg,35.263006,-80.944683,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
229,HAYP,Haymarket Nature Preserve,11634 BROOKSHIRE BV,0,NO ADDRESS,CHARLOTTE,NC,28214,Nature Preserve,General,Undeveloped,North,9803141001,,District 1,2003/07/11 00:00:00+00,1415200.687,584912.5716,Mecklenburg,35.342724,-80.96284200000001,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
276,MTLD,Rozzelles Ferry Nature Preserve,11840 MOUNTAIN ISLAND BROOK LN,11840,MOUNTAIN ISLAND BROOK,CHARLOTTE,NC,28214,Nature Preserve,General,Undeveloped,North,9803141001,,District 1,2014/05/23 00:00:00+00,1412864.096,587349.7959,Mecklenburg,35.348255,-80.969171,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
277,EALD,Eagles Landing Park,1204 EAGLES LANDING DR,0,NO ADDRESS,CHARLOTTE,NC,28214,Neighborhood,General,Developed,North,9803141001,District 3,District 2,2003/07/11 00:00:00+00,1425159.716,559031.7724,Mecklenburg,35.270573,-80.92625799999999,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
255,LTRC,Robert L. Smith Park,1604 LITTLE ROCK RD,0,NO ADDRESS,CHARLOTTE,NC,28214,Regional,General,Developed,North,9803141001,District 3,District 2,1998/09/02 00:00:00+00,1420685.0980000002,553808.957,Mecklenburg,35.257248,-80.944458,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
30,RVRP,Riverside Drive Park,1640 RIVERSIDE DR,0, ,CHARLOTTE,NC,28214,Community,General,Undeveloped,North,9803141001,,District 1,2017/01/10 00:00:00+00,1408142.75,576874.0834,Mecklenburg,35.318441,-80.984808,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
157,COUL,Coulwood Park,198 COULWOOD PARK DR,198,COULWOOD PARK,CHARLOTTE,NC,28214,Community,General,Developed,North,9803141001,District 2,District 2,1998/07/28 00:00:00+00,1421296.362,571867.1364,Mecklenburg,35.299984,-80.9404,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
16,WMJP,West Mecklenburg Park,2765 WESTERWOOD VILLAGE DR.,0, ,CHARLOTTE,NC,28214,Neighborhood,General,Undeveloped,North,9803141001,District 3,District 2,2008/07/28 00:00:00+00,1416395.2719999999,551607.9467,Mecklenburg,35.24945,-80.954228,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
155,SHFP,Shuffletown Prairie Nature Preserve,2804 HART RD,0,NO ADDRESS,CHARLOTTE,NC,28214,Nature Preserve,General,Developed,North,9803141001,District 2,District 1,2002/05/13 00:00:00+00,1415261.331,580173.5785,Mecklenburg,35.327527,-80.960949,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
166,CATW,US National Whitewater Center,5000 WHITEWATER CENTER PY,5000,WHITEWATER CENTER,CHARLOTTE,NC,28214,Regional,General,Developed,North,7043913900,,District 2,2008/04/21 00:00:00+00,1402482.619,559750.5007,USNWC,35.272432,-81.005261,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
273,TEDD,Teddington Park,5517 FREEDOM DR,0,NO ADDRESS,CHARLOTTE,NC,28214,Neighborhood,General,Undeveloped,North,9803141001,District 3,District 2,2003/07/11 00:00:00+00,1424012.9319999998,557594.0288,Mecklenburg,35.265831,-80.93050500000001,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
258,GATE,Iswa Nature Preserve,9909 WILKINSON BV,9701,WILKINSON,CHARLOTTE,NC,28214,Nature Preserve,General,Developed,South,9803141003,,District 2,1998/07/28 00:00:00+00,1401189.0,550085.0001,Mecklenburg,35.244845,-81.005747,35.272414000000005,-80.967036,"20,811.00",603.86,"49,534.00"
122,RAMA,Rama Road Park,1035 RAMA RD,1035,RAMA,CHARLOTTE,NC,28211,Neighborhood,General,Developed,South,9803141003,District 5,District 5,1998/07/28 00:00:00+00,1470618.5980000002,521106.1547,Mecklenburg,35.169554,-80.772036,35.166342,-80.797285,"27,757.00","2,482.16","62,371.00"
11,JBCP,James Boyce Park,300 BOYCE RD,300,BOYCE,CHARLOTTE,NC,28211,Community,General,Developed,South,9803141003,District 6,District 5,1999/02/11 00:00:00+00,1471143.229,513298.1812,Mecklenburg,35.144505,-80.765991,35.166342,-80.797285,"27,757.00","2,482.16","62,371.00"
142,OAKT,Oakhurst Park,3533 CRAIG AV,3533,CRAIG,CHARLOTTE,NC,28211,Neighborhood,General,Developed,South,9803141003,District 5,District 5,1998/07/28 00:00:00+00,1465359.696,529298.5952,Mecklenburg,35.192106,-80.789496,35.166342,-80.797285,"27,757.00","2,482.16","62,371.00"
127,GRAY,Grayson Park,750 BEAL ST,750,BEAL,CHARLOTTE,NC,28211,Neighborhood,General,Developed,South,9803141003,District 1,District 5,1998/07/28 00:00:00+00,1463335.645,529069.4498,Mecklenburg,35.189839,-80.796346,35.166342,-80.797285,"27,757.00","2,482.16","62,371.00"
330,NAOM,Naomi Drenan Recreation Center,750 BEAL ST,750,BEAL,CHARLOTTE,NC,28211,Recreation Center,RecCenter,Developed,South,9803141100,District 1,District 5,1998/07/28 00:00:00+00,1463345.9819999998,528923.6107,Mecklenburg,35.189839,-80.796346,35.166342,-80.797285,"27,757.00","2,482.16","62,371.00"
191,FVRP,Fairview Road Park,10601 FAIRVIEW RD,0, ,CHARLOTTE,NC,28227,Regional,General,Undeveloped,South,9803141003,,District 6,2015/03/12 00:00:00+00,1519394.126,521412.4059,Mecklenburg,35.173825,-80.608239,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
23,STVC,Stevens Creek Nature Center,15700 THOMPSON RD,15700,THOMPSON,MINT HILL,NC,28227,Nature Center,General,Developed,South,9803142526,,District 6,2020/06/01 11:04:56+00,1508713.554,511563.5478,Mecklenburg,35.144321000000005,-80.645269,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
90,STVN,Stevens Creek Nature Preserve,15700 THOMPSON RD,0,NO ADDRESS,MINT HILL,NC,28227,Nature Preserve,General,Developed,South,9803141003,,District 6,1998/10/06 00:00:00+00,1507866.416,512614.9737,Mecklenburg,35.144321000000005,-80.645269,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
137,EZEL,Ezell Farm Park,4155 MINTWOOD DR,4155,MINTWOOD,MINT HILL,NC,28227,Community,General,Developed,South,9803141003,,District 6,2003/07/11 00:00:00+00,1500639.634,516410.2285,Mecklenburg,35.156307,-80.671706,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
227,ABRC,Albemarle Recreation Center,5027 IDLEWILD RD NORTH,5027,IDLEWILD,CHARLOTTE,NC,28227,Recreation Center,RecCenter,Developed,South,9803141101,District 5,District 4,2002/03/18 00:00:00+00,1484748.746,530702.9793,Mecklenburg,35.196063,-80.724896,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
313,PENC,Hickory Grove Park,6709 PENCE RD,6709,PENCE,CHARLOTTE,NC,28227,Neighborhood,General,Developed,South,9803141003,District 5,District 4,2003/07/11 00:00:00+00,1487149.657,541545.5582,Mecklenburg,35.226405,-80.716963,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
98,WILG,Park on Wilgrove,7750 JIM HARPER LN,7750,JIM HARPER,MINT HILL,NC,28227,Town Park,General,Developed,South,7045459726,,District 6,,1505268.292,528105.9026,Mint Hill,35.188274,-80.658331,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
69,MAYP,Mayerling Drive Park,8420 LAWYERS RD,0,NO ADDRESS,CHARLOTTE,NC,28227,Neighborhood,General,Undeveloped,South,9803141003,,District 6,2003/07/11 00:00:00+00,1491199.032,527559.9466,Mecklenburg,35.190216,-80.701739,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
224,MHVP,Mint Hill Veterans Memorial Park,8850 FAIRVIEW RD,8850,FAIRVIEW,MINT HILL,NC,28227,Town Park,General,Developed,South,7045459726,,District 6,,1511681.909,524432.7346,Mint Hill,35.178978,-80.63367099999999,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
26,ABRP,Albemarle Road Park,9120 E W T HARRIS BV,9120,W T HARRIS,CHARLOTTE,NC,28227,Community,General,Developed,South,9803141003,District 5,District 4,2002/03/18 00:00:00+00,1484195.618,530843.2177,Mecklenburg,35.195887,-80.726827,35.189403999999996,-80.645488,"39,535.00","1,021.32","51,189.00"
61,PERL,Pearl Street Park,1100 BAXTER ST,1100,BAXTER,CHARLOTTE,NC,28204,Neighborhood,General,Under Construction,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1451264.987,537295.9481,Mecklenburg,35.212647,-80.83800600000001,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
245,ELZA,Elizabeth Park,1100 E TRADE ST,1100,TRADE,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,2001/08/21 00:00:00+00,1452640.746,539523.4959,Mecklenburg,35.220069,-80.835008,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
4,THMP,Thompson Park,1125 E 3RD ST,1125,3RD,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/09/02 00:00:00+00,1452180.2880000002,538692.2129,Mecklenburg,35.216366,-80.833572,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
241,STMY,St. Marys Chapel,1129 E 3RD ST,1129,3RD,CHARLOTTE,NC,28204,Event Venue,Venue,Developed,Central,7043331235,District 1,District 4,1998/07/28 00:00:00+00,1452404.812,538524.2466,Mecklenburg,35.216194,-80.833156,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
326,ARMY,Armory Training Center,1418 ARMORY DR,1418,ARMORY,CHARLOTTE,NC,28204,Operational,Misc,Operational,Central,7043362802,District 1,District 4,1997/09/29 00:00:00+00,1454807.168,539005.2424,Mecklenburg,35.216772,-80.82545400000001,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
136,RHMG,Robert Heywood Morrison Garden,1445 HARDING PL,1445,HARDING,CHARLOTTE,NC,28204,Flower Garden,Garden,Developed,Central,9803141002,District 1,District 4,,1451247.0,535080.9999,Mecklenburg,35.206289,-80.837186,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
100,INDP,Independence Park,300 HAWTHORNE LN,300,HAWTHORNE,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1455728.206,538438.3214,Mecklenburg,35.213921,-80.823758,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
17,MEMS,American Legion Memorial Stadium,310 N KINGS DR,310,KINGS,CHARLOTTE,NC,28204,Event Venue,Venue,Under Construction,Central,7043362884,District 1,District 4,1998/07/28 00:00:00+00,1453905.874,539746.4418,Mecklenburg,35.219122,-80.829247,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
176,GRDY,Grady Cole Center,310 N KINGS DR,310,KINGS,CHARLOTTE,NC,28204,Event Venue,Venue,Developed,Central,7043362884,District 1,District 4,1998/07/28 00:00:00+00,1453709.899,539716.0994,Mecklenburg,35.219122,-80.829247,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
86,HAWC,Hawthorne Recreation Center,345 HAWTHORNE LN,345,HAWTHORNE,CHARLOTTE,NC,28204,Recreation Center,RecCenter,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1455564.45,538311.8351,Mecklenburg,35.215495000000004,-80.82305799999999,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
84,MORG,Cherry Park,501 S TORRENCE ST,501,TORRENCE,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1452582.271,536491.9297,Mecklenburg,35.209813,-80.832802,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
269,MIDT,Midtown Park,510 S KINGS DR,510,KINGS,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,2004/08/03 00:00:00+00,1451630.3869999999,536701.9948,Mecklenburg,35.210561,-80.836164,35.214799,-80.82701800000001,"4,900.00","2,894.13","33,006.00"
231,HORT,Horticultural Maintenance Facility,11826 MALLARD CREEK RD,11826,MALLARD CREEK,CHARLOTTE,NC,28269,Operational,Misc,Operational,North,9803141001,District 4,District 3,1998/08/12 00:00:00+00,1476341.765,589065.7948,Mecklenburg,35.355969,-80.756136,35.334508,-80.803461,"42,356.00","1,419.99","61,899.00"
15,MLDC,Mallard Creek Recreation Center,2530 JOHNSTON OEHLER RD,2530,JOHNSTON OEHLER,CHARLOTTE,NC,28269,Recreation Center,RecCenter,Developed,North,9803141121,District 4,District 1,1998/08/12 00:00:00+00,1475333.699,589500.0517,Mecklenburg,35.357032000000004,-80.759755,35.334508,-80.803461,"42,356.00","1,419.99","61,899.00"
265,MLCP,Mallard Creek Park,3001 JOHNSTON OEHLER RD,3001,JOHNSTON OEHLER,CHARLOTTE,NC,28269,Regional,General,Developed,North,9803141001,District 4,District 1,1998/07/28 00:00:00+00,1475023.32,591399.4427,Mecklenburg,35.360603000000005,-80.76378100000001,35.334508,-80.803461,"42,356.00","1,419.99","61,899.00"
270,TRGL,Tradition Golf Course,3800 PROSPERITY CHURCH RD,3800,PROSPERITY CHURCH,CHARLOTTE,NC,28269,Golf Course,Golf,Developed,North,9803141001,District 4,District 1,1998/07/28 00:00:00+00,1470357.596,587398.5279,Mecklenburg,35.35082,-80.77435600000001,35.334508,-80.803461,"42,356.00","1,419.99","61,899.00"
